Erstellungsdatum; Performance seit beginn; Durchschnittliche Performance pro Jahr; Maximaler Drawdown; Erstemission; Performancegebühr; ISIN; Investiertes Kapital
01.04.2012;106,80%;6,80%;-64,20%;30.08.2012;10%;DE000LS9ABF2;35.196,18
03.05.2012;82,20%;5,60%;-28,70%;03.06.2015;5%;DE000LS9FXF5;38.259,42
24.06.2012;1294,30%;27,70%;-38,90%;20.12.2016;10%;DE000LS9KHU7;1.086.746,51
31.07.2012;1031,50%;25,50%;-33,20%;11.04.2013;5%;DE000LS9AUL0;5.862.767,29
09.08.2012;-31,10%;-3,40%;-37,10%;05.09.2012;10%;DE000LS9ABK2;103.425,33
09.08.2012;-73,30%;-11,60%;-74,00%;05.09.2012;20%;DE000LS9ABP1;122.670,05
12.08.2012;74,50%;5,30%;-21,90%;05.09.2012;12%;DE000LS9ABM8;35.958,33
26.08.2012;151,30%;9,10%;-18,40%;26.06.2014;15%;DE000LS9CBY9;811.846,67
12.09.2012;215,60%;11,50%;-38,30%;24.01.2013;10%;DE000LS9AKJ5;1.054.316,54
12.09.2012;189,00%;10,40%;-47,70%;21.08.2014;9%;DE000LS9CSK2;278.908,50
16.09.2012;1444,90%;29,60%;-34,80%;18.04.2013;5%;DE000LS9AVX3;22.089.519,81
22.09.2012;298,80%;13,90%;-32,80%;03.12.2015;6%;DE000LS9HP25;8.624.547,40
09.11.2012;154,10%;9,30%;-24,20%;13.12.2012;5%;DE000LS9AGG9;31.252,25
09.11.2012;58,60%;4,50%;-31,80%;24.01.2013;5%;DE000LS9AKH9;9.674,98
20.01.2013;123,30%;8,10%;-31,40%;07.03.2013;10%;DE000LS9APJ4;127.286,45
22.01.2013;256,30%;13,30%;-19,60%;03.02.2014;20%;DE000LS9BNL3;3.339.867,69
25.01.2013;122,50%;8,20%;-13,30%;18.04.2013;5%;DE000LS9AWD3;4.237.217,85
30.01.2013;236,60%;12,60%;-32,90%;10.09.2014;10%;DE000LS9CYA1;988.297,44
18.02.2013;-88,10%;-19,10%;-99,30%;13.06.2013;15%;DE000LS9BDT7;91.304,83
29.03.2013;148,80%;9,50%;-31,10%;31.05.2013;5%;DE000LS9BBT1;278.972,98
30.04.2013;2883,50%;40,70%;-59,90%;08.08.2013;20%;DE000LS9BFD6;3.694.742,39
19.05.2013;8,60%;0,80%;-18,80%;06.05.2015;10%;DE000LS9FCQ6;9.343,96
22.05.2013;50,90%;4,30%;-22,30%;18.08.2015;10%;DE000LS9GHM2;70.193,52
30.05.2013;177,10%;10,90%;-37,60%;09.04.2014;5%;DE000LS9BZG7;255.477,51
30.05.2013;80,10%;6,20%;-37,10%;23.10.2014;10%;DE000LS9DLQ2;183.261,21
18.06.2013;105,10%;7,60%;-51,30%;16.12.2015;20%;DE000LS9HRC0;26.040,51
22.06.2013;111,60%;7,90%;-44,10%;22.08.2014;5%;DE000LS9CTZ8;19.456,45
24.06.2013;102,10%;7,40%;-35,20%;03.12.2015;10%;DE000LS9HLD1;13.550,49
19.07.2013;236,70%;13,20%;-25,60%;09.04.2014;5%;DE000LS9BYR7;1.957.456,82
11.08.2013;58,40%;4,80%;-45,50%;04.02.2014;10%;DE000LS9BQU7;36.428,34
